,contract,exchange_time,underlying_index,forward_price,spot_price,usd_multiplier,mark_price,bid_price,ask_price,bid_size,ask_size,mark_iv,bid_iv,ask_iv,delta,vega,theta,gamma,open_interest,volume,mat_id,strike,optiontype,expiry,ttm,contract_size,interest_rate
0,SPY240614C00350000,2024-06-14 15:28:47.574531+00:00,SPY,541.6500032,541.6500032,1,191.475,189.95,193,1,1,,,,1,0,0,0,149,103,14-Jun-24,350,C,2024-06-14 20:00:00+00:00,0.000515995,100,0.041920002
1,SPY240614C00360000,2024-06-14 15:28:47.574531+00:00,SPY,541.6500032,541.6500032,1,182.06,181.15,182.97,1,1,,,,1,0,0,0,32,32,14-Jun-24,360,C,2024-06-14 20:00:00+00:00,0.000515995,100,0.041920002
2,SPY240614C00365000,2024-06-14 15:28:47.574531+00:00,SPY,541.6500032,541.6500032,1,176.525,175.52,177.53,1,1,,,,1,0,0,0,10,10,14-Jun-24,365,C,2024-06-14 20:00:00+00:00,0.000515995,100,0.041920002
3,SPY240614C00370000,2024-06-14 15:28:47.574531+00:00,SPY,541.6500032,541.6500032,1,171.385,170.49,172.28,1,1,,,,1,0,0,0,25,25,14-Jun-24,370,C,2024-06-14 20:00:00+00:00,0.000515995,100,0.041920002
4,SPY240614C00375000,2024-06-14 15:28:47.574531+00:00,SPY,541.6500032,541.6500032,1,166.98,166.07,167.89,1,1,,,,1,0,0,0,8,3,14-Jun-24,375,C,2024-06-14 20:00:00+00:00,0.000515995,100,0.041920002
5,SPY240614C00395000,2024-06-14 15:28:47.574531+00:00,SPY,541.6500032,541.6500032,1,146.81,145.72,147.9,1,1,,,,1,0,0,0,121,32,14-Jun-24,395,C,2024-06-14 20:00:00+00:00,0.000515995,100,0.041920002
6,SPY240614C00400000,2024-06-14 15:28:47.574531+00:00,SPY,541.6500032,541.6500032,1,141.835,140.81,142.86,1,1,,,,1,0,0,0,24,1,14-Jun-24,400,C,2024-06-14 20:00:00+00:00,0.000515995,100,0.041920002
7,SPY240614C00405000,2024-06-14 15:28:47.574531+00:00,SPY,541.6500032,541.6500032,1,136.81,135.7,137.92,1,1,,,,1,0,0,0,1,1,14-Jun-24,405,C,2024-06-14 20:00:00+00:00,0.000515995,100,0.041920002
8,SPY240614C00410000,2024-06-14 15:28:47.574531+00:00,SPY,541.6500032,541.6500032,1,131.495,130.13,132.86,1,1,,,,1,0,0,0,1,1,14-Jun-24,410,C,2024-06-14 20:00:00+00:00,0.000515995,100,0.041920002
9,SPY240614C00415000,2024-06-14 15:28:47.574531+00:00,SPY,541.6500032,541.6500032,1,126.88,125.91,127.85,1,1,,,,1,0,0,0,2,2,14-Jun-24,415,C,2024-06-14 20:00:00+00:00,0.000515995,100,0.041920002
