,contract,exchange_time,underlying_index,forward_price,spot_price,usd_multiplier,mark_price,bid_price,ask_price,bid_size,ask_size,mark_iv,bid_iv,ask_iv,delta,vega,theta,gamma,open_interest,volume,mat_id,strike,optiontype,expiry,ttm,contract_size,interest_rate
0,455.0,2024-06-20 19:08:30.749493+00:00,SPY,546.694205152351,546.9299926757812,1.0,,91.0,92.12,1.0,1.0,,,,1.0,0.0,0.0,0.0,18.0,49.0,20Jun2024,455.0,C,2024-06-20 20:00:00+00:00,9.795949096270929e-05,100.0,90.02738176048588
1,457.0,2024-06-20 19:08:30.749493+00:00,SPY,546.694205152351,546.9299926757812,1.0,,89.08,90.29,1.0,1.0,,,,1.0,0.0,0.0,0.0,50.0,2.0,20Jun2024,457.0,C,2024-06-20 20:00:00+00:00,9.795949096270929e-05,100.0,90.02738176048588
2,460.0,2024-06-20 19:08:30.749493+00:00,SPY,546.694205152351,546.9299926757812,1.0,,85.93,87.15,1.0,1.0,,,,1.0,0.0,0.0,0.0,2.0,2.0,20Jun2024,460.0,C,2024-06-20 20:00:00+00:00,9.795949096270929e-05,100.0,90.02738176048588
3,461.0,2024-06-20 19:08:30.749493+00:00,SPY,546.694205152351,546.9299926757812,1.0,,84.96,86.26,1.0,1.0,,,,1.0,0.0,0.0,0.0,49.0,,20Jun2024,461.0,C,2024-06-20 20:00:00+00:00,9.795949096270929e-05,100.0,90.02738176048588
4,464.0,2024-06-20 19:08:30.749493+00:00,SPY,546.694205152351,546.9299926757812,1.0,,81.92,83.16,1.0,1.0,,,,1.0,0.0,0.0,0.0,49.0,49.0,20Jun2024,464.0,C,2024-06-20 20:00:00+00:00,9.795949096270929e-05,100.0,90.02738176048588
5,465.0,2024-06-20 19:08:30.749493+00:00,SPY,546.694205152351,546.9299926757812,1.0,,81.06,82.33,1.0,1.0,,,,1.0,0.0,0.0,0.0,104.0,5.0,20Jun2024,465.0,C,2024-06-20 20:00:00+00:00,9.795949096270929e-05,100.0,90.02738176048588
6,466.0,2024-06-20 19:08:30.749493+00:00,SPY,546.694205152351,546.9299926757812,1.0,,79.84,81.28,1.0,1.0,,,,1.0,0.0,0.0,0.0,24.0,,20Jun2024,466.0,C,2024-06-20 20:00:00+00:00,9.795949096270929e-05,100.0,90.02738176048588
7,469.0,2024-06-20 19:08:30.749493+00:00,SPY,546.694205152351,546.9299926757812,1.0,,76.84,78.52,1.0,1.0,,,,1.0,0.0,0.0,0.0,59.0,10.0,20Jun2024,469.0,C,2024-06-20 20:00:00+00:00,9.795949096270929e-05,100.0,90.02738176048588
8,470.0,2024-06-20 19:08:30.749493+00:00,SPY,546.694205152351,546.9299926757812,1.0,,75.83,77.5,1.0,1.0,,,,1.0,0.0,0.0,0.0,3.0,1.0,20Jun2024,470.0,C,2024-06-20 20:00:00+00:00,9.795949096270929e-05,100.0,90.02738176048588
9,472.0,2024-06-20 19:08:30.749493+00:00,SPY,546.694205152351,546.9299926757812,1.0,,74.08,75.44,1.0,1.0,,,,1.0,0.0,0.0,0.0,1.0,,20Jun2024,472.0,C,2024-06-20 20:00:00+00:00,9.795949096270929e-05,100.0,90.02738176048588
10,475.0,2024-06-20 19:08:30.749493+00:00,SPY,546.694205152351,546.9299926757812,1.0,,71.07,72.15,1.0,1.0,,4.527782734233359,,1.0,0.0,0.0,0.0,1.0,1.0,20Jun2024,475.0,C,2024-06-20 20:00:00+00:00,9.795949096270929e-05,100.0,90.02738176048588
11,476.0,2024-06-20 19:08:30.749493+00:00,SPY,546.694205152351,546.9299926757812,1.0,,69.94,71.19,1.0,1.0,,,,1.0,0.0,0.0,0.0,51.0,1.0,20Jun2024,476.0,C,2024-06-20 20:00:00+00:00,9.795949096270929e-05,100.0,90.02738176048588
12,480.0,2024-06-20 19:08:30.749493+00:00,SPY,546.694205152351,546.9299926757812,1.0,,66.02,67.24,1.0,1.0,,,,1.0,0.0,0.0,0.0,66.0,15.0,20Jun2024,480.0,C,2024-06-20 20:00:00+00:00,9.795949096270929e-05,100.0,90.02738176048588
13,483.0,2024-06-20 19:08:30.749493+00:00,SPY,546.694205152351,546.9299926757812,1.0,,63.09,64.29,1.0,1.0,,,,1.0,0.0,0.0,0.0,49.0,1.0,20Jun2024,483.0,C,2024-06-20 20:00:00+00:00,9.795949096270929e-05,100.0,90.02738176048588
14,485.0,2024-06-20 19:08:30.749493+00:00,SPY,546.694205152351,546.9299926757812,1.0,,61.06,62.19,1.0,1.0,,,,1.0,0.0,0.0,0.0,382.0,22.0,20Jun2024,485.0,C,2024-06-20 20:00:00+00:00,9.795949096270929e-05,100.0,90.02738176048588
15,486.0,2024-06-20 19:08:30.749493+00:00,SPY,546.694205152351,546.9299926757812,1.0,,60.0,61.18,1.0,1.0,,,,1.0,0.0,0.0,0.0,50.0,20.0,20Jun2024,486.0,C,2024-06-20 20:00:00+00:00,9.795949096270929e-05,100.0,90.02738176048588
16,487.0,2024-06-20 19:08:30.749493+00:00,SPY,546.694205152351,546.9299926757812,1.0,,58.96,60.47,1.0,1.0,,,,1.0,0.0,0.0,0.0,0.0,1.0,20Jun2024,487.0,C,2024-06-20 20:00:00+00:00,9.795949096270929e-05,100.0,90.02738176048588
17,488.0,2024-06-20 19:08:30.749493+00:00,SPY,546.694205152351,546.9299926757812,1.0,,57.72,59.53,1.0,1.0,,,,1.0,0.0,0.0,0.0,1.0,1.0,20Jun2024,488.0,C,2024-06-20 20:00:00+00:00,9.795949096270929e-05,100.0,90.02738176048588
18,489.0,2024-06-20 19:08:30.749493+00:00,SPY,546.694205152351,546.9299926757812,1.0,,56.85,58.23,1.0,1.0,,,,1.0,0.0,0.0,0.0,0.0,1.0,20Jun2024,489.0,C,2024-06-20 20:00:00+00:00,9.795949096270929e-05,100.0,90.02738176048588
19,490.0,2024-06-20 19:08:30.749493+00:00,SPY,546.694205152351,546.9299926757812,1.0,,55.98,57.17,1.0,1.0,,,,1.0,0.0,0.0,0.0,2.0,2.0,20Jun2024,490.0,C,2024-06-20 20:00:00+00:00,9.795949096270929e-05,100.0,90.02738176048588
20,491.0,2024-06-20 19:08:30.749493+00:00,SPY,546.694205152351,546.9299926757812,1.0,,54.89,56.3,1.0,1.0,,,,1.0,0.0,0.0,0.0,49.0,,20Jun2024,491.0,C,2024-06-20 20:00:00+00:00,9.795949096270929e-05,100.0,90.02738176048588
21,494.0,2024-06-20 19:08:30.749493+00:00,SPY,546.694205152351,546.9299926757812,1.0,,52.05,53.27,1.0,1.0,,,,1.0,0.0,0.0,0.0,50.0,1.0,20Jun2024,494.0,C,2024-06-20 20:00:00+00:00,9.795949096270929e-05,100.0,90.02738176048588
22,495.0,2024-06-20 19:08:30.749493+00:00,SPY,546.694205152351,546.9299926757812,1.0,,51.02,52.42,1.0,1.0,,,,1.0,0.0,0.0,0.0,1.0,30.0,20Jun2024,495.0,C,2024-06-20 20:00:00+00:00,9.795949096270929e-05,100.0,90.02738176048588
23,496.0,2024-06-20 19:08:30.749493+00:00,SPY,546.694205152351,546.9299926757812,1.0,,49.82,51.54,1.0,1.0,,,,1.0,0.0,0.0,0.0,1.0,1.0,20Jun2024,496.0,C,2024-06-20 20:00:00+00:00,9.795949096270929e-05,100.0,90.02738176048588
