,root,expiry,strike,optiontype,mid_price,bid_size,bid_price,ask_size,ask_price,open_interest,mark_price,exchange_time,ttm,mat_id
4050,SPXW,2024-05-24,4050,P,0.0,0,0.0,1010,0.05,483,0.025,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4100,SPXW,2024-05-24,4100,C,0.0,1,1194.9,40,1209.5,0,1202.2,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4100,SPXW,2024-05-24,4100,P,0.0,0,0.0,1526,0.05,1667,0.025,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4150,SPXW,2024-05-24,4150,C,0.0,1,1144.9,40,1159.5,17,1152.2,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4150,SPXW,2024-05-24,4150,P,0.0,0,0.0,1526,0.05,4207,0.025,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4200,SPXW,2024-05-24,4200,C,0.0,1,1094.9,40,1109.5,0,1102.2,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4200,SPXW,2024-05-24,4200,P,0.0,0,0.0,1624,0.05,8749,0.025,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4250,SPXW,2024-05-24,4250,C,0.0,1,1044.9,40,1059.5,3,1052.2,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4250,SPXW,2024-05-24,4250,P,0.0,0,0.0,1600,0.05,2439,0.025,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4275,SPXW,2024-05-24,4275,C,0.0,1,1019.9,40,1034.5,0,1027.2,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4275,SPXW,2024-05-24,4275,P,0.0,0,0.0,753,0.05,140,0.025,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4300,SPXW,2024-05-24,4300,C,0.0,1,994.9,40,1009.5,5,1002.2,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4300,SPXW,2024-05-24,4300,P,0.0,0,0.0,1700,0.05,15163,0.025,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4325,SPXW,2024-05-24,4325,C,0.0,1,969.9,40,984.5,0,977.2,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4325,SPXW,2024-05-24,4325,P,0.0,0,0.0,1005,0.05,304,0.025,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4350,SPXW,2024-05-24,4350,C,0.0,1,944.9,40,959.5,14,952.2,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4350,SPXW,2024-05-24,4350,P,0.0,0,0.0,1700,0.05,11125,0.025,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4375,SPXW,2024-05-24,4375,C,0.0,1,919.9,40,934.5,0,927.2,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4375,SPXW,2024-05-24,4375,P,0.0,0,0.0,1700,0.05,3306,0.025,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4380,SPXW,2024-05-24,4380,C,0.0,1,914.9,40,929.5,0,922.2,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4380,SPXW,2024-05-24,4380,P,0.0,0,0.0,1600,0.05,2603,0.025,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4390,SPXW,2024-05-24,4390,C,0.0,1,904.9,40,919.5,3,912.2,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4390,SPXW,2024-05-24,4390,P,0.0,0,0.0,1311,0.05,710,0.025,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4400,SPXW,2024-05-24,4400,C,0.0,1,894.9,40,909.5,1,902.2,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4400,SPXW,2024-05-24,4400,P,0.0,0,0.0,1610,0.05,26522,0.025,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4410,SPXW,2024-05-24,4410,C,0.0,1,884.9,40,899.5,13,892.2,2024-05-24 16:00:00,0.00045662100456621003,24May2024
